species	ensembl_assembly_accession	assembly_status
pseudomonas_fuscovaginae_gca_001293465	GCA_001293465.1	Scaffold
pseudomonas_fuscovaginae_gca_900108595	GCA_900108595.1	Chromosome
pseudomonas_fuscovaginae_gca_900108595	GCA_900108595.1	Chromosome
rhodoferax_sp__gca_003537935	GCA_003537935.1	Contig
vibrio_diabolicus_gca_002953355	GCA_002953355.1	Complete Genome
vibrio_diabolicus_gca_006151825	GCA_006151825.1	Scaffold
marinobacter_sp__gca_002683435	GCA_002683435.1	Contig
marinobacter_sp__gca_002683915	GCA_002683915.1	Contig
marinobacter_sp__gca_002693645	GCA_002693645.1	
marinobacter_sp__gca_002693995	GCA_002693995.1	Contig
marinobacter_sp__gca_002714765	GCA_002714765.1	Contig
marinobacter_sp__gca_002733265	GCA_002733265.1	Contig
marinobacter_sp__gca_003539345	GCA_003539345.1	Scaffold
brevibacillus_agri_gca_003710885	GCA_003710885.1	Contig
actinobacillus_delphinicola_gca_900638385	GCA_900638385.1	Complete Genome
streptomyces_griseocarneus_gca_003674045	GCA_003674045.1	Contig
kluyvera_ascorbata_gca_003023805	GCA_003023805.1	Contig
kluyvera_ascorbata_gca_003789135	GCA_003789135.1	Contig
kluyvera_ascorbata_gca_900452265	GCA_900452265.1	Contig
mycoplasma_auris_gca_003253435	GCA_003253435.1	Scaffold
nitrosomonas_mobilis_gca_900103035	GCA_900103035.1	Contig
pediococcus_damnosus_gca_001437255	GCA_001437255.1	Contig
pediococcus_damnosus_gca_001611135	GCA_001611135.1	Complete Genome
pediococcus_damnosus_gca_002770635	GCA_002770635.1	Scaffold
aerococcus_urinaeequi_gca_001518795	GCA_001518795.1	Complete Genome
tetragenococcus_halophilus_gca_003795105	GCA_003795105.1	Complete Genome
hyphomicrobium_facile_gca_900116175	GCA_900116175.1	Contig
microbacterium_sp__gca_002694325	GCA_002694325.1	Contig
microbacterium_sp__gca_002707035	GCA_002707035.1	Contig
microbacterium_sp__gca_002730355	GCA_002730355.1	Contig
microbacterium_sp__gca_003248655	GCA_003248655.1	Contig
meiothermus_silvanus_gca_004152925	GCA_004152925.1	Contig
rhizobium_hainanense_gca_900094555	GCA_900094555.1	Scaffold
acinetobacter_venetianus_gca_001575095	GCA_001575095.1	Contig
acinetobacter_venetianus_gca_001584645	GCA_001584645.1	Contig
acinetobacter_venetianus_gca_001584655	GCA_001584655.1	Contig
mitsuokella_multacida_gca_003470225	GCA_003470225.1	Scaffold
lactobacillus_gallinarum_gca_001314245	GCA_001314245.2	Complete Genome
lactobacillus_gallinarum_gca_002160635	GCA_002160635.1	Contig
lactobacillus_gallinarum_gca_002160975	GCA_002160975.1	Contig
lactobacillus_gallinarum_gca_002161035	GCA_002161035.1	Contig
lactobacillus_gallinarum_gca_002161165	GCA_002161165.1	Contig
nitrosomonas_aestuarii_gca_900114305	GCA_900114305.1	Contig
nitrosomonas_nitrosa_gca_900114795	GCA_900114795.1	Contig
desulfomicrobium_apsheronum_gca_900114115	GCA_900114115.1	Scaffold
desulfomicrobium_norvegicum_gca_900114595	GCA_900114595.1	Scaffold
brachyspira_pilosicoli_gca_900445955	GCA_900445955.1	Contig
acetobacterium_bakii_gca_001263355	GCA_001263355.1	Scaffold
acetobacterium_wieringae_gca_001766835	GCA_001766835.1	Contig
actinoplanes_brasiliensis_gca_004362215	GCA_004362215.1	Contig
actinoplanes_regularis_gca_900188005	GCA_900188005.1	Scaffold
clostridium_vincentii_gca_002995745	GCA_002995745.1	Contig
actinomyces_denticolens_gca_900141725	GCA_900141725.1	Scaffold
schaalia_georgiae_gca_003933715	GCA_003933715.1	Scaffold
actinomyces_hordeovulneris_gca_001907235	GCA_001907235.1	Scaffold
actinomyces_hordeovulneris_gca_003858505	GCA_003858505.1	Scaffold
actinomyces_howellii_gca_900637165	GCA_900637165.1	Complete Genome
schaalia_meyeri_gca_900105015	GCA_900105015.1	Contig
actinomyces_slackii_gca_900637295	GCA_900637295.1	Complete Genome
bosea_thiooxidans_gca_001420315	GCA_001420315.1	Contig
bosea_thiooxidans_gca_900168195	GCA_900168195.1	Contig
tatumella_citrea_gca_002163585	GCA_002163585.1	Complete Genome
xenorhabdus_japonica_gca_900115195	GCA_900115195.1	Scaffold
xenorhabdus_japonica_gca_900115195	GCA_900115195.1	Scaffold
staphylococcus_delphini_gca_002369735	GCA_002369735.1	Contig
staphylococcus_delphini_gca_002374135	GCA_002374135.1	Contig
staphylococcus_delphini_gca_900636325	GCA_900636325.1	Complete Genome
enterococcus_durans_gca_002945695	GCA_002945695.1	Contig
enterococcus_durans_gca_003321475	GCA_003321475.1	Contig
enterococcus_durans_gca_900447695	GCA_900447695.1	Contig
enterococcus_durans_gca_900447815	GCA_900447815.1	Contig
enterococcus_mundtii_gca_001990645	GCA_001990645.1	Scaffold
enterococcus_mundtii_gca_002141315	GCA_002141315.1	Scaffold
enterococcus_mundtii_gca_002798425	GCA_002798425.1	Scaffold
enterococcus_mundtii_gca_002813755	GCA_002813755.1	Complete Genome
enterococcus_mundtii_gca_002947535	GCA_002947535.1	Contig
enterococcus_mundtii_gca_003048275	GCA_003048275.1	Contig
streptococcus_gallolyticus_subsp_gallolyticus_gca_901543475	GCA_901543475.1	Complete Genome
terracoccus_luteus_gca_003635045	GCA_003635045.1	Contig
catellatospora_citrea_gca_003610235	GCA_003610235.1	
asanoa_ferruginea_gca_003387075	GCA_003387075.1	Contig
corynebacterium_coyleae_gca_002861345	GCA_002861345.1	Contig
corynebacterium_coyleae_gca_002861365	GCA_002861365.1	Scaffold
corynebacterium_coyleae_gca_900105505	GCA_900105505.1	Contig
mycobacterium_heidelbergense_gca_002086215	GCA_002086215.1	Contig
mycobacterium_paraffinicum_gca_001907675	GCA_001907675.1	Scaffold
pseudomonas_anguilliseptica_gca_900105355	GCA_900105355.1	Contig
pseudomonas_asplenii_gca_002891515	GCA_002891515.1	Contig
pseudomonas_asplenii_gca_003663905	GCA_003663905.1	
pseudomonas_asplenii_gca_003664245	GCA_003664245.1	
pseudomonas_asplenii_gca_004011535	GCA_004011535.1	
pseudomonas_asplenii_gca_004346765	GCA_004346765.1	
pseudomonas_asplenii_gca_900105475	GCA_900105475.1	Chromosome
pseudomonas_citronellolis_gca_001586155	GCA_001586155.1	Complete Genome
pseudomonas_citronellolis_gca_001654435	GCA_001654435.1	Complete Genome
pseudomonas_ficuserectae_gca_001400815	GCA_001400815.1	Scaffold
pseudomonas_ficuserectae_gca_003701615	GCA_003701615.1	Scaffold
xanthomonas_axonopodis_gca_001304695	GCA_001304695.1	Contig
xanthomonas_populi_gca_002940065	GCA_002940065.1	Scaffold
lonepinella_koalarum_gca_004339625	GCA_004339625.1	Scaffold
eubacterium_callanderi_gca_900115415	GCA_900115415.1	Scaffold
eubacterium_limosum_kist612_gca_000152245	GCA_000152245.2	Complete Genome
blautia_hydrogenotrophica_gca_001404935	GCA_001404935.1	Scaffold
streptomyces_cinnamoneus_gca_002727115	GCA_002727115.1	Contig
streptomyces_cinnamoneus_gca_002939475	GCA_002939475.1	Contig
janibacter_limosus_gca_004295485	GCA_004295485.1	Complete Genome
paracoccus_solventivorans_gca_900142875	GCA_900142875.1	Contig
polaribacter_filamentus_gca_002943715	GCA_002943715.1	Contig
thalassobius_gelatinovorus_gca_001458355	GCA_001458355.1	Contig
sulfobacillus_acidophilus_gca_003023745	GCA_003023745.1	Scaffold
pseudomonas_amygdali_pv_lachrymans_gca_001400475	GCA_001400475.1	Scaffold
pseudomonas_amygdali_pv_lachrymans_gca_003699045	GCA_003699045.1	Scaffold
pseudomonas_amygdali_pv_lachrymans_gca_003700865	GCA_003700865.1	Scaffold
pseudomonas_amygdali_pv_lachrymans_gca_003701815	GCA_003701815.1	Scaffold
peptoniphilus_harei_gca_001546555	GCA_001546555.1	Scaffold
peptoniphilus_harei_gca_900454685	GCA_900454685.1	Contig
peptoniphilus_ivorii_gca_900638585	GCA_900638585.1	Complete Genome
anaerococcus_octavius_gca_002847745	GCA_002847745.1	Scaffold
anaerococcus_octavius_gca_900445265	GCA_900445265.1	Contig
pediococcus_parvulus_gca_001640785	GCA_001640785.1	Contig
xylophilus_ampelinus_gca_003217575	GCA_003217575.1	Scaffold
halanaerobium_congolense_gca_003201135	GCA_003201135.1	Scaffold
halanaerobium_congolense_gca_004364065	GCA_004364065.1	Scaffold
halanaerobium_congolense_gca_004366375	GCA_004366375.1	Scaffold
halanaerobium_congolense_gca_900100055	GCA_900100055.1	Scaffold
halanaerobium_congolense_gca_900111705	GCA_900111705.1	Scaffold
halanaerobium_congolense_gca_900143045	GCA_900143045.1	Scaffold
raoultella_ornithinolytica_gca_002215315	GCA_002215315.1	Contig
raoultella_ornithinolytica_gca_004341525	GCA_004341525.1	Scaffold
raoultella_ornithinolytica_gca_004801135	GCA_004801135.1	Scaffold
raoultella_ornithinolytica_gca_900184005	GCA_900184005.1	Contig
salmonella_enterica_subsp_enterica_serovar_paratyphi_a_gca_006334275	GCA_006334275.1	Scaffold
endosymbiont_of_ridgeia_piscesae_gca_001443665	GCA_001443665.1	Scaffold
endosymbiont_of_ridgeia_piscesae_gca_001443675	GCA_001443675.1	Scaffold
streptomyces_venezuelae_gca_001443625	GCA_001443625.1	
salmonella_bongori_gca_900635485	GCA_900635485.1	Complete Genome
brevibacillus_choshinensis_gca_001420695	GCA_001420695.1	Scaffold
brevibacillus_formosus_gca_002215075	GCA_002215075.1	Complete Genome
brevibacillus_parabrevis_gca_003710905	GCA_003710905.1	Contig
brevibacillus_reuszeri_gca_001187725	GCA_001187725.1	Scaffold
flavobacterium_branchiophilum_gca_002530755	GCA_002530755.1	Scaffold
pectobacterium_betavasculorum_gca_000749845	GCA_000749845.1	Contig
pantoea_cypripedii_gca_002095535	GCA_002095535.1	Contig
erwinia_persicina_gca_003485445	GCA_003485445.1	Complete Genome
erwinia_persicina_gca_005233475	GCA_005233475.1	Contig
erwinia_rhapontici_gca_004364855	GCA_004364855.1	Scaffold
brenneria_rubrifaciens_gca_005484945	GCA_005484945.1	Complete Genome
pseudomonas_syringae_pv_ribicola_gca_001400955	GCA_001400955.1	Scaffold
pseudomonas_syringae_pv_ribicola_gca_003698905	GCA_003698905.1	Scaffold
streptomyces_netropsis_gca_900290435	GCA_900290435.1	Contig
janthinobacterium_agaricidamnosum_gca_003667705	GCA_003667705.1	Complete Genome
actinomyces_graevenitzii_gca_002871975	GCA_002871975.1	Scaffold
vibrio_anguillarum_gca_000287135	GCA_000287135.2	Scaffold
vibrio_anguillarum_gca_001660505	GCA_001660505.1	
vibrio_anguillarum_gca_002211505	GCA_002211505.1	Complete Genome
vibrio_anguillarum_gca_002211985	GCA_002211985.1	Complete Genome
vibrio_anguillarum_gca_002212025	GCA_002212025.1	Complete Genome
vibrio_anguillarum_gca_002310335	GCA_002310335.1	Complete Genome
vibrio_anguillarum_gca_003709525	GCA_003709525.1	Scaffold
vibrio_anguillarum_gca_900452855	GCA_900452855.1	Contig
mycoplasma_caviae_gca_900631685	GCA_900631685.1	Contig
moorella_glycerini_gca_001373375	GCA_001373375.1	Scaffold
streptomyces_toyocaensis_gca_000725125	GCA_000725125.1	Contig
leucobacter_komagatae_gca_000834055	GCA_000834055.1	Contig
bogoriella_caseilytica_gca_003752405	GCA_003752405.1	Contig
cylindrospermum_stagnale_pcc_7417_gca_000317535	GCA_000317535.1	Chromosome
oscillatoria_acuminata_pcc_6304_gca_000317105	GCA_000317105.1	Complete Genome
photobacterium_iliopiscarium_gca_000949935	GCA_000949935.1	Contig
photobacterium_iliopiscarium_gca_003026405	GCA_003026405.1	Contig
sphingobium_chungbukense_gca_001005725	GCA_001005725.1	Contig
mycobacterium_bohemicum_gca_002102025	GCA_002102025.1	Contig
couchioplanes_caeruleus_subsp_caeruleus_gca_001884705	GCA_001884705.1	Contig
couchioplanes_caeruleus_gca_003751945	GCA_003751945.1	Contig
xanthomonas_arboricola_gca_000972745	GCA_000972745.1	Complete Genome
xanthomonas_arboricola_gca_001264355	GCA_001264355.1	Contig
xanthomonas_arboricola_gca_002939965	GCA_002939965.1	Contig
xanthomonas_arboricola_gca_002940445	GCA_002940445.1	Contig
xanthomonas_arboricola_gca_002940445	GCA_002940445.1	Contig
xanthomonas_arboricola_gca_002940465	GCA_002940465.1	Contig
xanthomonas_arboricola_gca_002940665	GCA_002940665.1	Contig
xanthomonas_arboricola_gca_900476395	GCA_900476395.1	Contig
xanthomonas_bromi_gca_900092025	GCA_900092025.1	Contig
xanthomonas_cucurbitae_gca_002939885	GCA_002939885.1	Scaffold
xanthomonas_hortorum_gca_002285515	GCA_002285515.1	Complete Genome
xanthomonas_hyacinthi_gca_002939895	GCA_002939895.1	Contig
xanthomonas_melonis_gca_002940015	GCA_002940015.1	Contig
xanthomonas_pisi_gca_002940045	GCA_002940045.1	Contig
xanthomonas_sacchari_gca_000815185	GCA_000815185.1	Complete Genome
xanthomonas_sacchari_gca_002940085	GCA_002940085.1	Contig
xanthomonas_vasicola_gca_000772775	GCA_000772775.3	Complete Genome
xanthomonas_vasicola_gca_002939925	GCA_002939925.1	Contig
xanthomonas_vasicola_gca_003312605	GCA_003312605.3	Contig
xanthomonas_vasicola_gca_004339435	GCA_004339435.1	
xanthomonas_vesicatoria_gca_001908815	GCA_001908815.1	Complete Genome
xanthomonas_codiaei_gca_002939785	GCA_002939785.1	Contig
xanthomonas_theicola_gca_002940605	GCA_002940605.1	Contig
mycolicibacterium_mucogenicum_gca_001665375	GCA_001665375.1	Contig
mycolicibacterium_mucogenicum_gca_001668705	GCA_001668705.1	Contig
mycolicibacterium_mucogenicum_gca_004359045	GCA_004359045.1	Contig
rhizobium_gallicum_gca_001908615	GCA_001908615.1	Complete Genome
_eubacterium_infirmum_gca_900450455	GCA_900450455.1	Contig
halanaerobium_kushneri_gca_900156285	GCA_900156285.1	Scaffold
syntrophus_aciditrophicus_sb_gca_000013405	GCA_000013405.1	Complete Genome
colwellia_sp__gca_002733765	GCA_002733765.1	Contig
colwellia_sp__gca_002734005	GCA_002734005.1	
colwellia_sp__gca_003545415	GCA_003545415.1	Scaffold
psychrobacter_sp__gca_003522395	GCA_003522395.1	Scaffold
psychrobacter_sp__gca_003530515	GCA_003530515.1	Scaffold
psychrobacter_sp__gca_003542795	GCA_003542795.1	Scaffold
psychrobacter_sp__gca_003545355	GCA_003545355.1	Scaffold
shewanella_frigidimarina_gca_001529365	GCA_001529365.1	Contig
afipia_broomeae_gca_002797635	GCA_002797635.1	
bacillus_thuringiensis_serovar_jegathesan_gca_002148045	GCA_002148045.1	Scaffold
thermus_brockianus_gca_001880325	GCA_001880325.1	Complete Genome
algoriphagus_ratkowskyi_gca_003254355	GCA_003254355.1	Scaffold
lactobacillus_zeae_gca_005796005	GCA_005796005.1	Contig
lactobacillus_zeae_gca_005796045	GCA_005796045.1	Contig
microbacterium_esteraromaticum_gca_002705755	GCA_002705755.3	Contig
microbacterium_esteraromaticum_gca_900163815	GCA_900163815.1	Contig
pseudodesulfovibrio_profundus_gca_900217235	GCA_900217235.1	Complete Genome
microvirgula_aerodenitrificans_gca_003051865	GCA_003051865.1	Chromosome
desulfuromonas_thiophila_gca_900101955	GCA_900101955.1	Scaffold
leptospira_interrogans_serovar_lai_gca_000758025	GCA_000758025.1	Contig
tsukamurella_tyrosinosolvens_gca_900104775	GCA_900104775.1	Contig
citrobacter_braakii_gca_001952715	GCA_001952715.2	Contig
citrobacter_braakii_gca_002075345	GCA_002075345.1	Contig
citrobacter_braakii_gca_004331445	GCA_004331445.1	Contig
citrobacter_braakii_gca_004331535	GCA_004331535.1	Contig
citrobacter_braakii_gca_004331545	GCA_004331545.1	Contig
citrobacter_braakii_gca_004331575	GCA_004331575.1	Contig
citrobacter_braakii_gca_004331585	GCA_004331585.1	Contig
citrobacter_braakii_gca_004331635	GCA_004331635.1	Contig
salmonella_enterica_subsp_enterica_serovar_weltevreden_gca_004291365	GCA_004291365.1	Contig
salmonella_enterica_subsp_enterica_serovar_weltevreden_gca_005518485	GCA_005518485.1	Contig
salmonella_enterica_subsp_enterica_serovar_weltevreden_gca_005518735	GCA_005518735.1	Contig
salmonella_enterica_subsp_enterica_serovar_weltevreden_gca_005519475	GCA_005519475.1	Contig
salmonella_enterica_subsp_enterica_serovar_weltevreden_gca_005519565	GCA_005519565.1	Contig
salmonella_enterica_subsp_enterica_serovar_weltevreden_gca_006227575	GCA_006227575.2	Scaffold
burkholderia_thailandensis_gca_002386205	GCA_002386205.1	Complete Genome
burkholderia_thailandensis_gca_002891155	GCA_002891155.1	Contig
burkholderia_thailandensis_gca_003614815	GCA_003614815.1	Complete Genome
colwellia_sp_mt41_gca_001444365	GCA_001444365.1	Complete Genome
salmonella_enterica_subsp_enterica_serovar_agona_gca_003118725	GCA_003118725.1	Contig
salmonella_enterica_subsp_enterica_serovar_agona_gca_005518985	GCA_005518985.1	Contig
salmonella_enterica_subsp_enterica_serovar_agona_gca_005519005	GCA_005519005.1	Contig
salmonella_enterica_subsp_enterica_serovar_agona_gca_005519085	GCA_005519085.1	Contig
salmonella_enterica_subsp_enterica_serovar_agona_gca_005519155	GCA_005519155.1	Contig
salmonella_enterica_subsp_enterica_serovar_agona_gca_005519165	GCA_005519165.1	Contig
salmonella_enterica_subsp_enterica_serovar_agona_gca_005519205	GCA_005519205.1	Contig
salmonella_enterica_subsp_enterica_serovar_agona_gca_005519245	GCA_005519245.1	Contig
salmonella_enterica_subsp_enterica_serovar_agona_gca_005519255	GCA_005519255.1	Contig
salmonella_enterica_subsp_enterica_serovar_agona_gca_005519285	GCA_005519285.1	Contig
salmonella_enterica_subsp_enterica_serovar_agona_gca_005519295	GCA_005519295.1	Contig
salmonella_enterica_subsp_enterica_serovar_agona_gca_005519315	GCA_005519315.1	Contig
salmonella_enterica_subsp_enterica_serovar_agona_gca_005519345	GCA_005519345.1	Contig
salmonella_enterica_subsp_enterica_serovar_agona_gca_005519575	GCA_005519575.1	Contig
salmonella_enterica_subsp_enterica_serovar_agona_gca_005519595	GCA_005519595.1	Contig
salmonella_enterica_subsp_enterica_serovar_agona_gca_005519655	GCA_005519655.1	Contig
salmonella_enterica_subsp_enterica_serovar_agona_gca_005519725	GCA_005519725.1	Contig
salmonella_enterica_subsp_enterica_serovar_agona_gca_006165105	GCA_006165105.1	Complete Genome
salmonella_enterica_subsp_enterica_serovar_agona_gca_006165125	GCA_006165125.1	Complete Genome
salmonella_enterica_subsp_enterica_serovar_agona_gca_006165125	GCA_006165125.1	Complete Genome
salmonella_enterica_subsp_enterica_serovar_agona_gca_006165145	GCA_006165145.1	Complete Genome
salmonella_enterica_subsp_enterica_serovar_agona_gca_006165165	GCA_006165165.1	Complete Genome
salmonella_enterica_subsp_enterica_serovar_agona_gca_006165185	GCA_006165185.1	Complete Genome
salmonella_enterica_subsp_enterica_serovar_agona_gca_006165205	GCA_006165205.1	Complete Genome
salmonella_enterica_subsp_enterica_serovar_agona_gca_006165225	GCA_006165225.1	Complete Genome
salmonella_enterica_subsp_enterica_serovar_agona_gca_006165245	GCA_006165245.1	Complete Genome
salmonella_enterica_subsp_enterica_serovar_agona_gca_006165265	GCA_006165265.1	Complete Genome
salmonella_enterica_subsp_enterica_serovar_agona_gca_006165285	GCA_006165285.1	Complete Genome
salmonella_enterica_subsp_enterica_serovar_agona_gca_006165285	GCA_006165285.1	Complete Genome
salmonella_enterica_subsp_enterica_serovar_bovismorbificans_gca_001114865	GCA_001114865.1	Scaffold
salmonella_enterica_subsp_enterica_serovar_bovismorbificans_gca_001126725	GCA_001126725.1	Scaffold
salmonella_enterica_subsp_enterica_serovar_bovismorbificans_gca_001172045	GCA_001172045.1	Scaffold
salmonella_enterica_subsp_enterica_serovar_bovismorbificans_gca_900455875	GCA_900455875.1	Contig
actinocorallia_herbida_gca_003751225	GCA_003751225.1	Contig
actinomadura_viridilutea_gca_003001795	GCA_003001795.1	
glycomyces_harbinensis_gca_900101745	GCA_900101745.1	Scaffold
microbispora_rosea_gca_900156315	GCA_900156315.1	Scaffold
nitrosospira_sp_npav_gca_000832065	GCA_000832065.1	Contig
rahnella_inusitata_gca_003602055	GCA_003602055.1	Contig
paenibacillus_sp__gca_003514925	GCA_003514925.1	Scaffold
streptomyces_canus_gca_001514045	GCA_001514045.1	Scaffold
streptomyces_canus_gca_001514145	GCA_001514145.1	Scaffold
streptomyces_platensis_gca_002119195	GCA_002119195.1	Contig
salmonella_enterica_subsp_enterica_serovar_anatum_gca_003077055	GCA_003077055.1	Contig
salmonella_enterica_subsp_enterica_serovar_anatum_gca_004798185	GCA_004798185.1	Contig
salmonella_enterica_subsp_enterica_serovar_anatum_gca_004798335	GCA_004798335.1	Contig
rickettsiella_grylli_gca_000168295	GCA_000168295.1	Contig
salmonella_enterica_subsp_enterica_gca_003064445	GCA_003064445.1	Contig
salmonella_enterica_subsp_enterica_gca_003347075	GCA_003347075.1	Complete Genome
salmonella_enterica_subsp_enterica_gca_003912235	GCA_003912235.1	
salmonella_enterica_subsp_enterica_gca_003919775	GCA_003919775.1	
salmonella_enterica_subsp_enterica_gca_004919165	GCA_004919165.1	Complete Genome
salmonella_enterica_subsp_enterica_gca_900456435	GCA_900456435.1	Contig
salmonella_enterica_subsp_enterica_gca_900456555	GCA_900456555.1	Contig
salmonella_enterica_subsp_enterica_gca_900456735	GCA_900456735.1	Contig
salmonella_enterica_subsp_enterica_gca_900457255	GCA_900457255.1	Contig
salmonella_enterica_subsp_enterica_gca_900635525	GCA_900635525.1	Complete Genome
salmonella_enterica_subsp_enterica_gca_900635585	GCA_900635585.1	Complete Genome
salmonella_enterica_subsp_enterica_gca_900635605	GCA_900635605.1	Complete Genome
salmonella_enterica_subsp_enterica_gca_900635865	GCA_900635865.1	Complete Genome
salmonella_enterica_subsp_salamae_gca_003324815	GCA_003324815.1	Complete Genome
salmonella_enterica_subsp_salamae_gca_900635535	GCA_900635535.1	Complete Genome
salmonella_enterica_subsp_arizonae_gca_003869495	GCA_003869495.1	
salmonella_enterica_subsp_arizonae_gca_900456195	GCA_900456195.1	Contig
salmonella_enterica_subsp_arizonae_gca_900456225	GCA_900456225.1	Contig
salmonella_enterica_subsp_arizonae_gca_900456255	GCA_900456255.1	Contig
salmonella_enterica_subsp_arizonae_gca_900456325	GCA_900456325.1	Contig
salmonella_enterica_subsp_arizonae_gca_900478105	GCA_900478105.1	Complete Genome
salmonella_enterica_subsp_arizonae_gca_900635675	GCA_900635675.1	Complete Genome
salmonella_enterica_subsp_diarizonae_gca_002794415	GCA_002794415.1	Complete Genome
salmonella_enterica_subsp_diarizonae_gca_003869275	GCA_003869275.1	
salmonella_enterica_subsp_diarizonae_gca_900456375	GCA_900456375.1	Contig
salmonella_enterica_subsp_houtenae_gca_001188155	GCA_001188155.2	Contig
salmonella_enterica_subsp_indica_gca_900456865	GCA_900456865.1	Contig
streptococcus_macedonicus_gca_002735825	GCA_002735825.1	Scaffold
streptococcus_macedonicus_gca_002735835	GCA_002735835.1	Scaffold
streptococcus_macedonicus_gca_002860805	GCA_002860805.1	Contig
streptococcus_macedonicus_gca_900094105	GCA_900094105.1	Contig
fibrobacter_succinogenes_subsp_succinogenes_s85_gca_000146505	GCA_000146505.1	Complete Genome
actinotignum_schaalii_gca_000724605	GCA_000724605.1	Complete Genome
pseudomonas_syringae_pv_pisi_gca_003207975	GCA_003207975.1	Contig
pseudomonas_syringae_pv_pisi_gca_003699035	GCA_003699035.1	Scaffold
pseudomonas_syringae_pv_pisi_gca_003699035	GCA_003699035.1	Scaffold
pseudomonas_syringae_pv_pisi_gca_003700675	GCA_003700675.1	Scaffold
pseudomonas_syringae_pv_maculicola_gca_001293575	GCA_001293575.1	Scaffold
pseudomonas_syringae_pv_maculicola_gca_001294185	GCA_001294185.1	Scaffold
pseudomonas_syringae_pv_maculicola_gca_001400855	GCA_001400855.1	Scaffold
pseudomonas_syringae_pv_maculicola_gca_003699635	GCA_003699635.1	Scaffold
pseudomonas_syringae_pv_maculicola_gca_003700765	GCA_003700765.1	Scaffold
pseudomonas_syringae_pv_maculicola_gca_003702755	GCA_003702755.1	Scaffold
planktothrix_rubescens_gca_900009275	GCA_900009275.1	
trueperella_bernardiae_gca_001469025	GCA_001469025.1	Contig
gelidibacter_gilvus_gca_004115975	GCA_004115975.1	Contig
chryseobacterium_scophthalmum_gca_900143185	GCA_900143185.1	Contig
leifsonia_xyli_subsp_xyli_gca_001708285	GCA_001708285.1	Contig
mycolicibacterium_wolinskyi_gca_001545135	GCA_001545135.1	Contig
mycolicibacterium_wolinskyi_gca_002101965	GCA_002101965.1	Contig
paracoccus_marcusii_gca_006151785	GCA_006151785.1	Contig
mycolicibacterium_novocastrense_gca_001499845	GCA_001499845.1	Contig
mycolicibacterium_novocastrense_gca_001570485	GCA_001570485.1	Scaffold
pantoea_dispersa_gca_004009945	GCA_004009945.1	Scaffold
prevotella_sp__gca_003447235	GCA_003447235.1	Scaffold
prevotella_sp__gca_003491785	GCA_003491785.1	Scaffold
prevotella_sp__gca_003508345	GCA_003508345.1	Scaffold
prevotella_sp__gca_003517095	GCA_003517095.1	Scaffold
paenibacillus_glucanolyticus_gca_001633025	GCA_001633025.1	Contig
paenibacillus_illinoisensis_gca_003224455	GCA_003224455.1	Contig
paenibacillus_peoriae_gca_001272655	GCA_001272655.2	Complete Genome
paenibacillus_peoriae_gca_002937395	GCA_002937395.1	Scaffold
prochlorococcus_marinus_subsp_pastoris_str_ccmp1986_gca_000011465	GCA_000011465.1	Complete Genome
prochlorococcus_marinus_str_natl2a_gca_000012465	GCA_000012465.1	Complete Genome
prochlorococcus_marinus_str_mit_9303_gca_000015705	GCA_000015705.1	Complete Genome
prochlorococcus_marinus_str_pac1_gca_000760235	GCA_000760235.1	Contig
prochlorococcus_marinus_str_gp2_gca_000759885	GCA_000759885.1	Contig
prochlorococcus_marinus_str_sb_gca_000760115	GCA_000760115.1	Contig
synechococcus_sp_wh_8101_gca_004209775	GCA_004209775.1	Complete Genome
prevotella_pallens_gca_900454935	GCA_900454935.1	Contig
sulfitobacter_pontiacus_gca_900106935	GCA_900106935.1	Scaffold
xanthobacter_tagetidis_gca_003667445	GCA_003667445.1	Contig
helicobacter_ganmani_gca_003364315	GCA_003364315.1	Contig
moraxella_equi_gca_900453335	GCA_900453335.1	Contig
shewanella_sp_mr_7_gca_000014665	GCA_000014665.1	
lactobacillus_paraplantarum_gca_002897175	GCA_002897175.1	Scaffold
lactobacillus_paraplantarum_gca_003346405	GCA_003346405.1	Contig
lactobacillus_paraplantarum_gca_003609655	GCA_003609655.1	Scaffold
lactobacillus_paraplantarum_gca_004330485	GCA_004330485.1	Contig
caballeronia_glathei_gca_000698595	GCA_000698595.1	Contig
paraburkholderia_phenazinium_gca_004365055	GCA_004365055.1	
paraburkholderia_phenazinium_gca_900100735	GCA_900100735.1	Scaffold
paraburkholderia_phenazinium_gca_900141745	GCA_900141745.1	Contig
paraburkholderia_phenazinium_gca_900142845	GCA_900142845.1	Contig
burkholderia_pyrrocinia_gca_000743695	GCA_000743695.1	Contig
burkholderia_pyrrocinia_gca_001028665	GCA_001028665.1	Complete Genome
burkholderia_pyrrocinia_gca_001527685	GCA_001527685.1	Contig
burkholderia_pyrrocinia_gca_003201755	GCA_003201755.1	Scaffold
burkholderia_pyrrocinia_gca_003330765	GCA_003330765.1	Complete Genome
burkholderia_pyrrocinia_gca_004347225	GCA_004347225.1	Scaffold
burkholderia_vietnamiensis_gca_001525645	GCA_001525645.1	Contig
burkholderia_vietnamiensis_gca_001528495	GCA_001528495.1	Contig
burkholderia_vietnamiensis_gca_001529645	GCA_001529645.1	Contig
burkholderia_vietnamiensis_gca_003203575	GCA_003203575.1	Contig
burkholderia_vietnamiensis_gca_900102765	GCA_900102765.1	Scaffold
